/home/modelfun/anaconda3/envs/paddle/bin/python ptunning.py --task_name eprstmt --p_embedding_num 1 --learning_rate 5e-5 --rdrop_coef 0
eprstmt
epoch:1, dev_accuracy:71.875, total_num:32
epoch:1, test_accuracy:62.623, total_num:610
epoch:2, dev_accuracy:62.500, total_num:32
epoch:2, test_accuracy:67.869, total_num:610
epoch:3, dev_accuracy:53.125, total_num:32
epoch:3, test_accuracy:62.295, total_num:610
epoch:4, dev_accuracy:50.000, total_num:32
epoch:4, test_accuracy:64.590, total_num:610
epoch:5, dev_accuracy:75.000, total_num:32
epoch:5, test_accuracy:73.770, total_num:610
epoch:6, dev_accuracy:71.875, total_num:32
epoch:6, test_accuracy:77.869, total_num:610
epoch:7, dev_accuracy:68.750, total_num:32
epoch:7, test_accuracy:76.230, total_num:610
epoch:8, dev_accuracy:68.750, total_num:32
epoch:8, test_accuracy:77.377, total_num:610
epoch:9, dev_accuracy:75.000, total_num:32
epoch:9, test_accuracy:77.869, total_num:610
global step 10, epoch: 10, batch: 1, loss: 0.02853, speed: 0.37 step/s
epoch:10, dev_accuracy:75.000, total_num:32
epoch:10, test_accuracy:76.721, total_num:610
epoch:11, dev_accuracy:71.875, total_num:32
epoch:11, test_accuracy:74.262, total_num:610
epoch:12, dev_accuracy:65.625, total_num:32
epoch:12, test_accuracy:73.607, total_num:610
epoch:13, dev_accuracy:65.625, total_num:32
epoch:13, test_accuracy:73.607, total_num:610
epoch:14, dev_accuracy:65.625, total_num:32
epoch:14, test_accuracy:73.443, total_num:610
epoch:15, dev_accuracy:65.625, total_num:32
epoch:15, test_accuracy:73.607, total_num:610
epoch:16, dev_accuracy:65.625, total_num:32
epoch:16, test_accuracy:74.098, total_num:610
epoch:17, dev_accuracy:65.625, total_num:32
epoch:17, test_accuracy:74.262, total_num:610
epoch:18, dev_accuracy:65.625, total_num:32
epoch:18, test_accuracy:74.098, total_num:610
epoch:19, dev_accuracy:65.625, total_num:32
epoch:19, test_accuracy:74.262, total_num:610
global step 20, epoch: 20, batch: 1, loss: 0.00386, speed: 0.34 step/s
epoch:20, dev_accuracy:65.625, total_num:32
epoch:20, test_accuracy:74.098, total_num:610
/home/modelfun/anaconda3/envs/paddle/bin/python ptunning.py --task_name eprstmt --p_embedding_num 1 --learning_rate 5e-5 --rdrop_coef 0.1
eprstmt
epoch:1, dev_accuracy:71.875, total_num:32
epoch:1, test_accuracy:62.131, total_num:610
epoch:2, dev_accuracy:62.500, total_num:32
epoch:2, test_accuracy:68.525, total_num:610
epoch:3, dev_accuracy:59.375, total_num:32
epoch:3, test_accuracy:62.951, total_num:610
epoch:4, dev_accuracy:46.875, total_num:32
epoch:4, test_accuracy:64.918, total_num:610
epoch:5, dev_accuracy:68.750, total_num:32
epoch:5, test_accuracy:71.475, total_num:610
epoch:6, dev_accuracy:75.000, total_num:32
epoch:6, test_accuracy:76.557, total_num:610
epoch:7, dev_accuracy:71.875, total_num:32
epoch:7, test_accuracy:76.393, total_num:610
epoch:8, dev_accuracy:75.000, total_num:32
epoch:8, test_accuracy:76.066, total_num:610
epoch:9, dev_accuracy:71.875, total_num:32
epoch:9, test_accuracy:78.689, total_num:610
global step 10, epoch: 10, batch: 1, loss: 0.07515, speed: 0.36 step/s
epoch:10, dev_accuracy:71.875, total_num:32
epoch:10, test_accuracy:77.705, total_num:610
epoch:11, dev_accuracy:71.875, total_num:32
epoch:11, test_accuracy:77.049, total_num:610
epoch:12, dev_accuracy:71.875, total_num:32
epoch:12, test_accuracy:76.230, total_num:610
epoch:13, dev_accuracy:71.875, total_num:32
epoch:13, test_accuracy:76.230, total_num:610
epoch:14, dev_accuracy:71.875, total_num:32
epoch:14, test_accuracy:77.049, total_num:610
epoch:15, dev_accuracy:71.875, total_num:32
epoch:15, test_accuracy:77.705, total_num:610
epoch:16, dev_accuracy:71.875, total_num:32
epoch:16, test_accuracy:78.197, total_num:610
epoch:17, dev_accuracy:71.875, total_num:32
epoch:17, test_accuracy:78.689, total_num:610
epoch:18, dev_accuracy:71.875, total_num:32
epoch:18, test_accuracy:78.689, total_num:610
epoch:19, dev_accuracy:71.875, total_num:32
epoch:19, test_accuracy:78.852, total_num:610
global step 20, epoch: 20, batch: 1, loss: 0.01479, speed: 0.33 step/s
epoch:20, dev_accuracy:71.875, total_num:32
epoch:20, test_accuracy:79.016, total_num:610
/home/modelfun/anaconda3/envs/paddle/bin/python ptunning.py --task_name eprstmt --p_embedding_num 1 --learning_rate 5e-5 --rdrop_coef 0.01
eprstmt
epoch:1, dev_accuracy:71.875, total_num:32
epoch:1, test_accuracy:62.787, total_num:610
epoch:2, dev_accuracy:59.375, total_num:32
epoch:2, test_accuracy:69.344, total_num:610
epoch:3, dev_accuracy:59.375, total_num:32
epoch:3, test_accuracy:62.623, total_num:610
epoch:4, dev_accuracy:56.250, total_num:32
epoch:4, test_accuracy:65.902, total_num:610
epoch:5, dev_accuracy:71.875, total_num:32
epoch:5, test_accuracy:74.590, total_num:610
epoch:6, dev_accuracy:75.000, total_num:32
epoch:6, test_accuracy:77.541, total_num:610
epoch:7, dev_accuracy:68.750, total_num:32
epoch:7, test_accuracy:76.066, total_num:610
epoch:8, dev_accuracy:68.750, total_num:32
epoch:8, test_accuracy:75.738, total_num:610
epoch:9, dev_accuracy:75.000, total_num:32
epoch:9, test_accuracy:77.705, total_num:610
global step 10, epoch: 10, batch: 1, loss: 0.02690, speed: 0.36 step/s
epoch:10, dev_accuracy:71.875, total_num:32
epoch:10, test_accuracy:78.197, total_num:610
epoch:11, dev_accuracy:71.875, total_num:32
epoch:11, test_accuracy:77.869, total_num:610
epoch:12, dev_accuracy:71.875, total_num:32
epoch:12, test_accuracy:77.705, total_num:610
epoch:13, dev_accuracy:68.750, total_num:32
epoch:13, test_accuracy:76.721, total_num:610
epoch:14, dev_accuracy:68.750, total_num:32
epoch:14, test_accuracy:77.213, total_num:610
epoch:15, dev_accuracy:68.750, total_num:32
epoch:15, test_accuracy:76.557, total_num:610
epoch:16, dev_accuracy:68.750, total_num:32
epoch:16, test_accuracy:76.721, total_num:610
epoch:17, dev_accuracy:68.750, total_num:32
epoch:17, test_accuracy:76.885, total_num:610
epoch:18, dev_accuracy:68.750, total_num:32
epoch:18, test_accuracy:77.049, total_num:610
epoch:19, dev_accuracy:68.750, total_num:32
epoch:19, test_accuracy:77.213, total_num:610
global step 20, epoch: 20, batch: 1, loss: 0.00355, speed: 0.33 step/s
